회사명,종목코드,사업연도,결산월,업종,업종별배당율,주식배당,액면가,기말주식수,주당배당금,배당성향,총배당금액,시가배당률
3S,060310,2021,03,기계·장비,0.5,0,500,"45,211,895",0,0,0,0
3S,060310,2020,03,기계·장비,1.34,0,500,"44,802,511",0,0,0,0
AJ네트웍스,095570,2021,12,서비스업,0.43,0,1000,"46,822,295",0,0,0,0
AJ네트웍스,095570,2020,12,서비스업,0.68,0,1000,"46,822,295",210,0296.433,"9,832,681,950",4.600
AK홀딩스,006840,2021,12,금융업,2.61,0,5000,"13,247,561",0,0,0,0
AK홀딩스,006840,2020,12,금융업,3.56,0,5000,"13,247,561",400,01.963,"5,218,198,000",1.630
APS홀딩스,054620,2021,12,금융,1.34,0,500,"20,394,221",0,0,0,0
APS홀딩스,054620,2020,12,금융,1.04,0,500,"20,394,221",0,0,0,0
AP시스템,265520,2021,12,반도체,0.42,0,500,"15,281,421",0,0,0,0
AP시스템,265520,2020,12,반도체,0.47,0,500,"14,480,227",120,8.452,"2,108,917,920",0.500
AP위성,211270,2021,12,통신장비,0.28,0,500,"15,082,304",70,072.523 *,"987,042,070",0.900
AP위성,211270,2020,12,통신장비,0.28,0,500,"15,014,804",0,0,0,0
BGF,027410,2021,12,금융업,2.61,0,1000,"95,716,791",0,0,0,0
BGF,027410,2020,12,금융업,3.56,0,1000,"95,716,791",110,58.878,"10,527,964,370",2.200
BGF리테일,282330,2021,12,유통업,1.59,0,1000,"17,283,906",0,0,0,0
BGF리테일,282330,2020,12,유통업,1.53,0,1000,"17,283,906",2400,33.787,"41,460,036,000",1.700
BNGT,032790,2021,12,정보기기,0.73,0,500,"29,534,345",0,0,0,0
BNGT,032790,2020,12,정보기기,0.9,0,500,"19,828,799",0,0,0,0
BNK금융지주,138930,2021,12,금융업,2.61,0,5000,"325,935,246",0,0,0,0
BNK금융지주,138930,2020,12,금융업,3.56,0,5000,"325,935,246",320,18.455,"103,818,134,080",5.400
BYC,001460,2021,12,섬유의복,0.53,0,5000,"624,615",0,0,0,0
BYC,001460,2020,12,섬유의복,1.59,0,5000,"624,615",1100,5.078,"928,550,450",0.390
CBI,013720,2021,12,운송장비·부품,0.36,0,100,"52,809,535",0,0,0,0
CBI,013720,2020,12,운송장비·부품,0.36,0,500,"8,178,771",0,0,0,0
CJ,001040,2021,12,금융업,2.61,0,5000,"29,176,998",0,0,0,0
CJ,001040,2020,12,금융업,3.56,0,5000,"29,176,998",2000,32.928,"67,174,837,150",2.300
CJ CGV,079160,2021,12,서비스업,0.43,0,500,"37,953,412",0,0,0,0
CJ CGV,079160,2020,12,서비스업,0.68,0,500,"35,100,000",0,0,0,0
CJ ENM,035760,2021,12,방송서비스,0.89,0,5000,"21,929,154",0,0,0,0
CJ ENM,035760,2020,12,방송서비스,1.4,0,5000,"21,929,154",1600,50.537,"33,167,390,400",1.200
CJ대한통운,000120,2021,12,운수창고업,0.4,0,5000,"22,812,344",0,0,0,0
CJ대한통운,000120,2020,12,운수창고업,0.57,0,5000,"22,812,344",0,0,0,0
