,종목코드,현재가,거래량,거래대금,일자,시가,고가,저가,수정주가구분,수정비율,대업종구분,소업종구분,종목정보,수정주가이벤트,전일종가
0,000040,860,236141,203,20211223,870,874,856,,,,,,,
1,,865,342331,299,20211222,878,895,860,,,,,,,
2,,877,285569,250,20211221,880,886,855,,,,,,,
3,,875,147076,129,20211220,889,890,874,,,,,,,
4,,882,132646,117,20211217,885,895,872,,,,,,,
5,,885,236778,210,20211216,897,900,881,,,,,,,
6,,880,155934,137,20211215,876,892,870,,,,,,,
7,,876,188596,166,20211214,896,896,873,,,,,,,
8,,890,157809,140,20211213,880,895,880,,,,,,,
9,,880,108016,95,20211210,877,882,871,,,,,,,
10,,877,184543,162,20211209,882,885,870,,,,,,,
11,,874,178043,156,20211208,890,890,870,,,,,,,
12,,875,191857,168,20211207,884,886,870,,,,,,,
13,,873,413952,360,20211206,892,892,857,,,,,,,
14,,892,203069,181,20211203,899,899,884,,,,,,,
15,,893,239241,209,20211202,867,893,850,,,,,,,
16,,861,291852,248,20211201,822,880,821,,,,,,,
17,,830,440001,378,20211130,872,885,821,,,,,,,
18,,884,394172,345,20211129,853,890,853,,,,,,,
19,,900,486366,441,20211126,925,925,896,,,,,,,
20,,905,475042,437,20211125,945,958,900,,,,,,,
21,,942,174731,165,20211124,947,958,941,,,,,,,
22,,942,321582,305,20211123,956,960,941,,,,,,,
23,,956,272003,260,20211122,973,976,948,,,,,,,
24,,972,192049,187,20211119,974,988,968,,,,,,,
25,,973,237063,231,20211118,983,986,965,,,,,,,
26,,983,215196,213,20211117,1010,1010,982,,,,,,,
27,,998,329918,332,20211116,995,1025,995,,,,,,,
28,,985,215719,212,20211115,981,991,965,,,,,,,
29,,981,305046,296,20211112,950,999,938,,,,,,,
30,,942,319267,303,20211111,967,968,942,,,,,,,
31,,966,196572,192,20211110,985,988,964,,,,,,,
32,,985,230532,228,20211109,998,1000,979,,,,,,,
33,,988,249899,247,20211108,997,999,977,,,,,,,
34,,997,319624,319,20211105,998,1005,993,,,,,,,
35,,997,318823,319,20211104,1005,1010,995,,,,,,,
36,,998,327098,328,20211103,1015,1020,998,,,,,,,
37,,1010,316099,319,20211102,1015,1020,1000,,,,,,,
38,,1005,261019,266,20211101,1035,1040,1005,,,,,,,
39,,1035,322771,335,20211029,1035,1055,1030,,,,,,,
40,,1035,1518400,1610,20211028,1020,1120,1005,,,,,,,
41,,1010,270020,277,20211027,1050,1050,1010,,,,,,,
42,,1040,590258,612,20211026,1010,1055,1010,,,,,,,
43,,1005,239902,240,20211025,999,1010,994,,,,,,,
44,,1005,253556,255,20211022,1020,1020,999,,,,,,,
45,,1020,289710,292,20211021,1010,1025,998,,,,,,,
46,,1005,313505,315,20211020,1025,1030,999,,,,,,,
47,,1015,139673,141,20211019,1010,1025,1005,,,,,,,
48,,1010,179335,181,20211018,1015,1015,1000,,,,,,,
49,,1015,257664,261,20211015,1020,1035,1000,,,,,,,
50,,1015,211123,213,20211014,1010,1025,1000,,,,,,,
51,,1010,291739,292,20211013,988,1010,988,,,,,,,
52,,987,242901,241,20211012,986,1005,985,,,,,,,
53,,994,220256,218,20211008,986,995,980,,,,,,,
54,,982,215555,211,20211007,951,989,951,,,,,,,
55,,951,400610,390,20211006,952,1020,945,,,,,,,
56,,948,449814,429,20211005,994,997,936,,,,,,,
57,,990,500296,498,20211001,1005,1015,980,,,,,,,
58,,1015,213250,216,20210930,1020,1025,1005,,,,,,,
59,,1015,346385,350,20210929,1025,1030,1000,,,,,,,
60,,1025,268247,279,20210928,1055,1065,1025,,,,,,,
61,,1050,261239,272,20210927,1055,1055,1025,,,,,,,
62,,1035,304830,317,20210924,1055,1055,1035,,,,,,,
63,,1055,231199,243,20210923,1055,1065,1040,,,,,,,
64,,1065,331756,348,20210917,1080,1080,1015,,,,,,,
65,,1070,207791,223,20210916,1085,1085,1065,,,,,,,
66,,1075,284072,308,20210915,1090,1100,1075,,,,,,,
67,,1090,353381,385,20210914,1095,1110,1080,,,,,,,
68,,1095,303989,335,20210913,1130,1130,1085,,,,,,,
69,,1100,472803,518,20210910,1080,1125,1075,,,,,,,
70,,1090,366886,404,20210909,1120,1120,1090,,,,,,,
71,,1115,650881,731,20210908,1120,1165,1095,,,,,,,
72,,1110,226623,252,20210907,1125,1135,1105,,,,,,,
73,,1120,351201,392,20210906,1130,1130,1105,,,,,,,
74,,1125,308596,348,20210903,1130,1140,1115,,,,,,,
75,,1130,219167,247,20210902,1145,1145,1120,,,,,,,
76,,1130,204474,231,20210901,1125,1135,1115,,,,,,,
77,,1125,267751,300,20210831,1135,1145,1110,,,,,,,
78,,1130,302532,339,20210830,1120,1135,1100,,,,,,,
79,,1115,293971,324,20210827,1090,1120,1080,,,,,,,
80,,1115,193073,214,20210826,1110,1125,1100,,,,,,,
81,,1105,447160,494,20210825,1115,1125,1090,,,,,,,
82,,1100,399436,440,20210824,1085,1115,1075,,,,,,,
83,,1060,424026,458,20210823,1070,1100,1060,,,,,,,
84,,1050,521329,556,20210820,1095,1115,1040,,,,,,,
85,,1100,427200,482,20210819,1135,1155,1100,,,,,,,
86,,1135,638442,713,20210818,1110,1140,1095,,,,,,,
87,,1105,706773,781,20210817,1140,1150,1080,,,,,,,
88,,1140,761978,867,20210813,1175,1175,1120,,,,,,,
89,,1165,426966,499,20210812,1180,1185,1160,,,,,,,
90,,1180,758078,891,20210811,1195,1200,1160,,,,,,,
91,,1195,543534,648,20210810,1200,1205,1185,,,,,,,
92,,1200,701770,841,20210809,1230,1230,1185,,,,,,,
93,,1225,402909,491,20210806,1235,1240,1210,,,,,,,
94,,1235,388735,478,20210805,1215,1240,1215,,,,,,,
95,,1215,459187,554,20210804,1210,1225,1195,,,,,,,
96,,1190,860330,1034,20210803,1230,1235,1190,,,,,,,
97,,1230,454063,554,20210802,1235,1240,1210,,,,,,,
98,,1235,654306,815,20210730,1275,1275,1230,,,,,,,
99,,1255,551016,692,20210729,1235,1280,1235,,,,,,,
100,,1235,605018,749,20210728,1225,1250,1220,,,,,,,
101,,1250,732150,910,20210727,1250,1270,1200,,,,,,,
102,,1240,754402,947,20210726,1280,1285,1235,,,,,,,
103,,1275,687472,884,20210723,1300,1310,1275,,,,,,,
104,,1295,1314571,1698,20210722,1290,1315,1255,,,,,,,
105,,1280,937606,1208,20210721,1315,1320,1270,,,,,,,
106,,1300,2015141,2624,20210720,1280,1335,1265,,,,,,,
107,,1295,1946851,2508,20210719,1280,1320,1260,,,,,,,
108,,1290,7803936,10225,20210716,1270,1370,1245,,,,,,,
109,,1270,1054321,1338,20210715,1265,1280,1255,,,,,,,
110,,1265,1021335,1277,20210714,1280,1285,1225,,,,,,,
111,,1265,1753147,2242,20210713,1270,1295,1265,,,,,,,
112,,1265,4033024,5120,20210712,1230,1295,1215,,,,,,,
113,,1210,874970,1046,20210709,1215,1220,1175,,,,,,,
114,,1220,656267,798,20210708,1220,1240,1200,,,,,,,
115,,1220,1486136,1837,20210707,1210,1260,1205,,,,,,,
116,,1210,446070,540,20210706,1205,1220,1195,,,,,,,
117,,1210,461642,558,20210705,1220,1225,1200,,,,,,,
118,,1215,475158,580,20210702,1235,1235,1210,,,,,,,
119,,1235,395032,487,20210701,1240,1250,1225,,,,,,,
120,,1225,736527,911,20210630,1265,1270,1225,,,,,,,
121,,1255,1039051,1288,20210629,1220,1260,1215,,,,,,,
122,,1215,491623,595,20210628,1210,1220,1195,,,,,,,
123,,1210,557812,666,20210625,1200,1210,1185,,,,,,,
124,,1200,783102,930,20210624,1215,1220,1150,,,,,,,
125,,1210,1232641,1503,20210623,1255,1260,1200,,,,,,,
126,,1255,827138,1040,20210622,1230,1285,1230,,,,,,,
127,,1230,834196,1029,20210621,1260,1265,1220,,,,,,,
128,,1260,1229441,1550,20210618,1240,1275,1235,,,,,,,
129,,1245,1654194,2077,20210617,1285,1290,1230,,,,,,,
130,,1290,1241537,1592,20210616,1285,1305,1275,,,,,,,
131,,1290,1976744,2537,20210615,1280,1300,1260,,,,,,,
132,,1285,2636650,3369,20210614,1305,1310,1255,,,,,,,
