,종목코드,현재가,거래량,거래대금,일자,시가,고가,저가,수정주가구분,수정비율,대업종구분,소업종구분,종목정보,수정주가이벤트,전일종가
0,00088K,16550,114483,1880,20211223,16250,16600,16250,,,,,,,
1,,16300,62214,1013,20211222,16350,16400,16250,,,,,,,
2,,16350,67420,1101,20211221,16200,16400,16200,,,,,,,
3,,16350,42153,689,20211220,16550,16550,16250,,,,,,,
4,,16550,44232,727,20211217,16400,16550,16300,,,,,,,
5,,16450,34157,558,20211216,16400,16450,16250,,,,,,,
6,,16400,25910,422,20211215,16400,16400,16250,,,,,,,
7,,16400,38158,626,20211214,16450,16500,16300,,,,,,,
8,,16500,54148,895,20211213,16450,16700,16400,,,,,,,
9,,16400,40783,662,20211210,16250,16400,16100,,,,,,,
10,,16250,32695,531,20211209,16250,16350,16200,,,,,,,
11,,16250,36283,593,20211208,16500,16550,16200,,,,,,,
12,,16400,40287,656,20211207,16400,16400,16200,,,,,,,
13,,16350,32179,522,20211206,16350,16350,16100,,,,,,,
14,,16450,70793,1148,20211203,15850,16450,15850,,,,,,,
15,,15850,115190,1809,20211202,15550,15950,15500,,,,,,,
16,,15750,174070,2734,20211201,15950,16000,15500,,,,,,,
17,,15600,308627,4909,20211130,16550,16550,15600,,,,,,,
18,,16350,90502,1484,20211129,16100,16600,16100,,,,,,,
19,,16550,65306,1089,20211126,16750,16800,16500,,,,,,,
20,,16750,48948,822,20211125,16950,16950,16700,,,,,,,
21,,16950,41161,695,20211124,16900,16950,16800,,,,,,,
22,,16900,63442,1072,20211123,16900,16950,16800,,,,,,,
23,,16850,65155,1098,20211122,16750,16950,16700,,,,,,,
24,,16850,51649,869,20211119,16800,16950,16750,,,,,,,
25,,16900,58129,979,20211118,16900,16900,16700,,,,,,,
26,,16900,72549,1218,20211117,16850,16900,16700,,,,,,,
27,,16850,84498,1419,20211116,16700,16900,16600,,,,,,,
28,,16750,129510,2149,20211115,16550,16750,16500,,,,,,,
29,,16450,130898,2146,20211112,16200,16500,16200,,,,,,,
30,,16100,82837,1334,20211111,16100,16250,15950,,,,,,,
31,,16100,52717,847,20211110,16200,16200,16000,,,,,,,
32,,16200,28546,463,20211109,16150,16250,16150,,,,,,,
33,,16150,23418,379,20211108,16250,16250,16100,,,,,,,
34,,16150,28964,469,20211105,16200,16300,16150,,,,,,,
