count,종목코드,현재가,거래량,거래대금,일자,시가,고가,저가,수정주가구분,수정비율,대업종구분,소업종구분,종목정보,수정주가이벤트,전일종가
0,005930,79900,13577498,1083056,20211223,79800,80000,79300,,,,,,,
1,,79400,17105892,1354311,20211222,78900,79400,78800,,,,,,,
2,,78100,14245298,1110659,20211221,77900,78300,77500,,,,,,,
3,,77100,11264375,869972,20211220,77600,77800,76800,,,,,,,
4,,78000,13108479,1016846,20211217,76800,78000,76800,,,,,,,
5,,77800,11996128,934244,20211216,78500,78500,77400,,,,,,,
6,,77600,9584939,738592,20211215,76400,77600,76300,,,,,,,
7,,77000,10976660,841447,20211214,76500,77200,76200,,,,,,,
8,,76800,15038750,1163285,20211213,77200,78300,76500,,,,,,,
9,,76900,9155219,705966,20211210,77400,77600,76800,,,,,,,
10,,78200,21604528,1681184,20211209,77400,78200,77000,,,,,,,
11,,77400,21558340,1662979,20211208,78300,78600,77100,,,,,,,
12,,77400,19232453,1477888,20211207,76100,77700,75600,,,,,,,
13,,76300,16391250,1245309,20211206,75100,76700,74900,,,,,,,
14,,75600,18330240,1375861,20211203,75600,76000,74100,,,,,,,
15,,75800,23652940,1778785,20211202,73900,75800,73800,,,,,,,
16,,74400,21954856,1610885,20211201,72000,74800,71600,,,,,,,
17,,71300,30364841,2183678,20211130,73200,73900,70500,,,,,,,
18,,72300,16682559,1206606,20211129,71700,73000,71400,,,,,,,
19,,72300,13002242,944378,20211126,73500,74100,72000,,,,,,,
20,,73700,12559258,929571,20211125,75100,75100,73600,,,,,,,
21,,74800,15652305,1174196,20211124,76000,76200,74100,,,,,,,
22,,75300,22029195,1656722,20211123,76000,76000,74500,,,,,,,
23,,74900,27506623,2047228,20211122,73300,75200,73000,,,,,,,
24,,71200,11954728,844716,20211119,70400,71400,70100,,,,,,,
25,,70200,10144957,715156,20211118,70700,71000,70200,,,,,,,
26,,70700,11027606,782835,20211117,71300,71600,70600,,,,,,,
27,,71300,10919239,782119,20211116,71500,72000,71300,,,,,,,
28,,71400,12420710,888881,20211115,71700,71900,70900,,,,,,,
29,,70600,10087450,711488,20211112,70200,70900,69900,,,,,,,
30,,69900,11489122,802183,20211111,69900,70000,69600,,,,,,,
31,,70200,9422009,663953,20211110,70300,70900,70200,,,,,,,
32,,70500,11159589,785532,20211109,70300,71000,70100,,,,,,,
33,,70600,11121981,780514,20211108,70400,70600,69800,,,,,,,
34,,70200,12667743,893825,20211105,71600,71600,70200,,,,,,,
35,,70600,11818987,839689,20211104,71200,71600,70500,,,,,,,
36,,70400,12770428,901885,20211103,71700,71700,70100,,,,,,,
37,,71500,16812570,1204673,20211102,70800,72200,70700,,,,,,,
38,,69900,11503729,807716,20211101,70200,70600,69900,,,,,,,
39,,69800,17016151,1196597,20211029,71200,71600,69700,,,,,,,
40,,70700,20644902,1459533,20211028,69500,72200,69500,,,,,,,
41,,70100,10295316,723286,20211027,71000,71000,70000,,,,,,,
42,,71100,10528252,746413,20211026,70600,71500,70400,,,,,,,
43,,70200,10029621,702792,20211025,69900,70600,69500,,,,,,,
44,,70400,8395448,590534,20211022,70000,70700,70000,,,,,,,
45,,70200,10891094,766060,20211021,70300,70600,70000,,,,,,,
46,,70300,10151638,715666,20211020,70700,71000,70200,,,,,,,
