,종목코드,현재가,거래량,거래대금,일자,시가,고가,저가,수정주가구분,수정비율,대업종구분,소업종구분,종목정보,수정주가이벤트,전일종가
0,00806K,10800,8140,88,20211223,10900,10950,10600,,,,,,,
1,,10850,9683,103,20211222,10600,10850,10350,,,,,,,
2,,10450,7148,74,20211221,10500,10500,10200,,,,,,,
3,,10350,19038,202,20211220,10600,10950,10350,,,,,,,
4,,10750,8380,90,20211217,10750,10900,10650,,,,,,,
5,,10900,9683,105,20211216,11150,11150,10750,,,,,,,
6,,10900,13763,151,20211215,11300,11300,10750,,,,,,,
7,,11150,96079,1122,20211214,11700,12500,11000,,,,,,,
8,,11200,39058,437,20211213,11200,11800,10650,,,,,,,
9,,11100,113464,1279,20211210,10600,11850,10600,,,,,,,
10,,10500,5829,61,20211209,10750,10750,10450,,,,,,,
11,,10650,15329,162,20211208,10800,10850,10200,,,,,,,
12,,10700,10429,110,20211207,10800,11050,10300,,,,,,,
13,,10550,50865,552,20211206,10500,11350,10150,,,,,,,
14,,10250,23233,231,20211203,9710,10350,9610,,,,,,,
15,,9700,3698,36,20211202,9640,9700,9480,,,,,,,
16,,9570,3196,30,20211201,9370,9640,9300,,,,,,,
17,,9420,7493,71,20211130,9740,9800,9240,,,,,,,
18,,9640,11756,114,20211129,9850,9880,9550,,,,,,,
19,,9930,27710,280,20211126,10500,10650,9880,,,,,,,
20,,10500,5797,62,20211125,10950,10950,10500,,,,,,,
21,,10850,2795,30,20211124,11000,11000,10700,,,,,,,
22,,10850,5514,60,20211123,10900,11150,10800,,,,,,,
23,,10950,13487,148,20211122,11300,11300,10700,,,,,,,
24,,11250,4835,55,20211119,11600,11700,11250,,,,,,,
25,,11600,6961,80,20211118,11550,11700,11300,,,,,,,
26,,11600,6544,75,20211117,11850,11850,11300,,,,,,,
27,,11600,3591,42,20211116,11750,11750,11550,,,,,,,
28,,11650,5185,61,20211115,11650,11750,11650,,,,,,,
29,,11700,5582,64,20211112,11400,11700,11400,,,,,,,
30,,11600,19011,217,20211111,11250,11750,11100,,,,,,,
31,,11250,14322,162,20211110,11750,11750,11050,,,,,,,
32,,11600,28919,338,20211109,12000,12250,11450,,,,,,,
33,,12100,38657,466,20211108,12400,12550,11750,,,,,,,
34,,12100,131520,1556,20211105,11350,12600,10950,,,,,,,
35,,11150,10318,114,20211104,10850,11250,10850,,,,,,,
36,,10850,7331,79,20211103,10900,11100,10600,,,,,,,
37,,10800,25089,269,20211102,10800,10950,10550,,,,,,,
38,,10800,14447,155,20211101,10850,11050,10600,,,,,,,
39,,10850,9315,103,20211029,11300,11300,10850,,,,,,,
40,,11000,4707,53,20211028,11050,11300,11000,,,,,,,
41,,11050,6148,68,20211027,11450,11450,10900,,,,,,,
42,,11300,11472,126,20211026,11200,11400,10700,,,,,,,
43,,11150,75665,850,20211025,10400,11750,10400,,,,,,,
44,,10300,11352,117,20211022,10450,10450,10250,,,,,,,
45,,10350,2268,24,20211021,10400,10600,10350,,,,,,,
46,,10400,6975,74,20211020,10800,10800,10400,,,,,,,
47,,10750,6620,71,20211019,10750,11000,10500,,,,,,,
48,,10650,11151,119,20211018,10600,10950,10500,,,,,,,
49,,10600,14019,148,20211015,10500,10900,10400,,,,,,,
50,,10500,7405,78,20211014,10350,10700,10350,,,,,,,
51,,10350,2021,21,20211013,10250,10400,10200,,,,,,,
52,,10250,16841,171,20211012,10400,10450,10050,,,,,,,
53,,10500,21662,225,20211008,10150,10700,9940,,,,,,,
54,,10000,6754,68,20211007,10050,10350,9900,,,,,,,
55,,10000,15086,152,20211006,10000,10500,9790,,,,,,,
56,,10000,11100,111,20211005,10450,10450,9900,,,,,,,
57,,10450,13171,135,20211001,10400,10600,10100,,,,,,,
58,,10400,8121,84,20210930,10400,10750,10200,,,,,,,
59,,10400,9141,95,20210929,10400,10750,10300,,,,,,,
60,,10600,9691,102,20210928,10550,10750,10450,,,,,,,
61,,10700,9573,102,20210927,10800,10850,10550,,,,,,,
62,,10800,15707,169,20210924,11000,11150,10650,,,,,,,
63,,10850,48395,541,20210923,11200,11650,10800,,,,,,,
64,,10900,121085,1345,20210917,10400,12000,10300,,,,,,,
65,,10250,11677,120,20210916,10600,10700,10050,,,,,,,
66,,10300,5411,56,20210915,10500,10550,10250,,,,,,,
67,,10400,7472,78,20210914,10600,10650,10250,,,,,,,
68,,10450,9615,100,20210913,10550,10650,10300,,,,,,,
69,,10650,33775,358,20210910,11100,11100,10350,,,,,,,
70,,11000,20457,227,20210909,11150,11450,10750,,,,,,,
71,,11050,13125,145,20210908,11200,11200,10850,,,,,,,
72,,11150,15946,177,20210907,11350,11450,11000,,,,,,,
73,,11300,21908,247,20210906,11650,11700,11100,,,,,,,
74,,11600,70919,855,20210903,11950,12600,11600,,,,,,,
75,,11350,27940,325,20210902,11300,11400,11250,,,,,,,
76,,11300,9044,102,20210901,11200,11300,11150,,,,,,,
77,,11300,6689,75,20210831,11300,11400,11150,,,,,,,
78,,11400,13736,156,20210830,11400,11400,11250,,,,,,,
79,,11250,9306,105,20210827,11100,11300,11050,,,,,,,
80,,11200,11613,130,20210826,11200,11200,11100,,,,,,,
81,,11150,15073,170,20210825,11150,11500,11100,,,,,,,
82,,10950,23441,259,20210824,10850,11150,10850,,,,,,,
83,,10950,6541,71,20210823,10700,11050,10700,,,,,,,
84,,10550,13523,144,20210820,11100,11100,10550,,,,,,,
85,,11000,14068,157,20210819,11250,11250,11000,,,,,,,
86,,11250,6675,75,20210818,11200,11500,11100,,,,,,,
87,,11200,9444,107,20210817,11650,11650,11200,,,,,,,
88,,11550,7636,88,20210813,11800,11800,11400,,,,,,,
89,,11850,11881,141,20210812,11900,11950,11850,,,,,,,
90,,12250,3375,42,20210811,12500,12500,12250,,,,,,,
91,,12550,15317,191,20210810,12650,12650,12350,,,,,,,
92,,12750,17459,222,20210809,12500,12900,12500,,,,,,,
