,종목코드,현재가,거래량,거래대금,일자,시가,고가,저가,수정주가구분,수정비율,대업종구분,소업종구분,종목정보,수정주가이벤트,전일종가
0,026910,4190,33528,140,20211223,4175,4190,4135,,,,,,,
1,,4150,21817,91,20211222,4160,4195,4120,,,,,,,
2,,4160,42456,174,20211221,4140,4160,4065,,,,,,,
3,,4195,36763,154,20211220,4305,4305,4135,,,,,,,
4,,4345,23458,103,20211217,4415,4420,4345,,,,,,,
5,,4420,24302,107,20211216,4320,4700,4320,,,,,,,
6,,4320,15487,67,20211215,4315,4360,4305,,,,,,,
7,,4315,27753,121,20211214,4475,4475,4315,,,,,,,
8,,4475,19170,86,20211213,4530,4530,4445,,,,,,,
9,,4530,19065,86,20211210,4560,4560,4510,,,,,,,
10,,4560,22823,103,20211209,4500,4560,4500,,,,,,,
11,,4500,27275,124,20211208,4555,4580,4500,,,,,,,
12,,4555,62262,284,20211207,4590,4635,4495,,,,,,,
13,,4590,63513,285,20211206,4505,4605,4430,,,,,,,
14,,4490,75317,331,20211203,4355,4525,4320,,,,,,,
15,,4320,83879,353,20211202,4270,4320,4100,,,,,,,
16,,4270,69398,289,20211201,4010,4380,3975,,,,,,,
17,,4010,99316,407,20211130,4135,4215,4000,,,,,,,
18,,4180,47889,198,20211129,4150,4205,4050,,,,,,,
19,,4225,40355,172,20211126,4305,4315,4175,,,,,,,
20,,4350,84213,361,20211125,4445,4450,4110,,,,,,,
21,,4450,40968,185,20211124,4570,4570,4430,,,,,,,
22,,4570,44677,206,20211123,4575,4740,4550,,,,,,,
23,,4575,86545,388,20211122,4375,4615,4375,,,,,,,
24,,4375,227185,1016,20211119,4800,4800,4330,,,,,,,
25,,4800,115246,560,20211118,4945,4965,4800,,,,,,,
26,,4965,128182,628,20211117,5020,5060,4800,,,,,,,
27,,5020,149119,763,20211116,5270,5310,4965,,,,,,,
28,,5230,80512,425,20211115,5300,5420,5230,,,,,,,
29,,5280,56170,292,20211112,5180,5290,5120,,,,,,,
30,,5230,127733,674,20211111,5530,5530,5120,,,,,,,
31,,5600,92827,518,20211110,5350,5770,5350,,,,,,,
32,,5290,92005,505,20211109,5360,5720,5290,,,,,,,
33,,5370,44135,235,20211108,5380,5390,5280,,,,,,,
34,,5430,211632,1130,20211105,5630,5640,5140,,,,,,,
35,,5680,105065,603,20211104,5810,5880,5610,,,,,,,
36,,5800,308388,1751,20211103,5390,5920,5390,,,,,,,
37,,5380,111965,599,20211102,5050,5560,5050,,,,,,,
38,,5050,47995,248,20211101,5280,5280,5050,,,,,,,
39,,5290,42030,221,20211029,5340,5390,5160,,,,,,,
40,,5340,57553,309,20211028,5350,5550,5320,,,,,,,
41,,5350,72778,394,20211027,5440,5550,5350,,,,,,,
42,,5440,40906,220,20211026,5350,5490,5260,,,,,,,
43,,5380,89697,480,20211025,5600,5600,5050,,,,,,,
44,,5600,97966,560,20211022,6040,6040,5540,,,,,,,
45,,6040,48077,289,20211021,6040,6160,5910,,,,,,,
46,,6040,52898,318,20211020,6030,6080,5970,,,,,,,
47,,6030,32656,198,20211019,6010,6190,6000,,,,,,,
48,,6010,55329,331,20211018,5970,6050,5950,,,,,,,
49,,5970,21578,129,20211015,5980,6070,5950,,,,,,,
50,,5980,20782,123,20211014,5930,6010,5920,,,,,,,
51,,5930,29209,172,20211013,5950,5960,5810,,,,,,,
