,종목코드,현재가,거래량,거래대금,일자,시가,고가,저가,수정주가구분,수정비율,대업종구분,소업종구분,종목정보,수정주가이벤트,전일종가
0,08537M,23550,201,5,20211223,24000,24000,23050,,,,,,,
1,,24100,161,4,20211222,24800,24800,24100,,,,,,,
2,,24800,11,0,20211221,26500,26500,24800,,,,,,,
3,,25000,1,0,20211220,25000,25000,25000,,,,,,,
4,,24450,5,0,20211217,25000,25000,24450,,,,,,,
5,,24550,714,18,20211216,24400,24650,24400,,,,,,,
6,,24400,1,0,20211215,24400,24400,24400,,,,,,,
7,,24450,28,1,20211214,24100,24450,24100,,,,,,,
8,,24450,206,5,20211213,24000,24450,24000,,,,,,,
9,,24500,33,1,20211210,25000,25000,24500,,,,,,,
10,,25500,265,7,20211209,25450,25800,25450,,,,,,,
11,,25500,46,1,20211208,26100,27000,25500,,,,,,,
12,,26100,313,8,20211207,25100,27000,25100,,,,,,,
13,,25950,452,11,20211206,24500,27000,24500,,,,,,,
14,,24950,1686,41,20211203,22950,24950,22950,,,,,,,
15,,22850,1479,35,20211202,25950,25950,22800,,,,,,,
16,,23800,657,14,20211201,20550,24200,20550,,,,,,,
17,,21150,296,6,20211130,22900,22900,21100,,,,,,,
18,,21400,679,14,20211129,22500,22500,20850,,,,,,,
19,,21700,317,7,20211126,22500,22600,21400,,,,,,,
20,,21850,128,3,20211125,22300,22300,21850,,,,,,,
21,,22400,39,1,20211124,21450,22400,21450,,,,,,,
22,,21500,197,4,20211123,22000,22000,21000,,,,,,,
23,,21950,87,2,20211122,21500,21950,21500,,,,,,,
24,,22000,117,3,20211119,21800,22200,21800,,,,,,,
25,,21800,325,7,20211118,22700,22700,21600,,,,,,,
26,,22700,3,0,20211117,23050,23050,22700,,,,,,,
27,,23050,20,0,20211116,24500,24500,23050,,,,,,,
28,,23050,18,0,20211115,23050,23050,23050,,,,,,,
29,,23050,134,3,20211112,23300,23300,23050,,,,,,,
30,,22900,1839,42,20211111,24500,24500,22800,,,,,,,
31,,24650,648,16,20211110,24950,24950,23000,,,,,,,
32,,24800,81,2,20211109,24450,24950,23700,,,,,,,
33,,24500,3,0,20211108,24500,24500,24000,,,,,,,
34,,24000,56,1,20211105,26000,26000,24000,,,,,,,
35,,24950,8,0,20211104,25100,25100,24950,,,,,,,
36,,24450,446,11,20211103,27900,27900,24450,,,,,,,
37,,26750,139,4,20211102,27950,27950,26750,,,,,,,
38,,27950,75,2,20211101,27500,28000,27500,,,,,,,
39,,27500,292,8,20211029,26250,28300,26250,,,,,,,
