,종목코드,현재가,거래량,거래대금,일자,시가,고가,저가,수정주가구분,수정비율,대업종구분,소업종구분,종목정보,수정주가이벤트,전일종가
0,33637L,28100,2549,72,20211223,27150,28550,27150,,,,,,,
1,,27350,1168,32,20211222,27050,27500,26850,,,,,,,
2,,26950,2736,74,20211221,27200,27750,26850,,,,,,,
3,,27150,4558,126,20211220,28050,28100,27150,,,,,,,
4,,28150,2051,58,20211217,28650,28650,28050,,,,,,,
5,,28250,1404,40,20211216,28800,28800,28250,,,,,,,
6,,28300,3434,97,20211215,28550,28800,28000,,,,,,,
7,,28550,2039,58,20211214,29300,29300,28500,,,,,,,
8,,28750,1490,43,20211213,29800,29800,28600,,,,,,,
9,,29100,5342,156,20211210,28550,29900,28500,,,,,,,
10,,28550,2595,75,20211209,28500,29000,28500,,,,,,,
11,,28750,3092,89,20211208,28600,29250,28500,,,,,,,
12,,28550,1555,44,20211207,28500,29250,28400,,,,,,,
13,,28350,3149,90,20211206,28800,29250,28250,,,,,,,
14,,29150,1290,37,20211203,29350,29350,28800,,,,,,,
15,,29000,5946,173,20211202,29600,29650,28800,,,,,,,
16,,29650,3458,101,20211201,29000,30200,28700,,,,,,,
17,,29050,8073,242,20211130,31050,31050,29050,,,,,,,
18,,30650,10412,319,20211129,30250,31650,30150,,,,,,,
19,,31750,4325,138,20211126,31850,33000,31650,,,,,,,
20,,32350,7564,247,20211125,32300,33150,32250,,,,,,,
21,,32250,14925,476,20211124,30900,33050,30750,,,,,,,
22,,30950,13987,433,20211123,30900,31850,30600,,,,,,,
23,,31300,22003,700,20211122,33300,33300,31150,,,,,,,
24,,33850,35463,1197,20211119,34100,34450,32300,,,,,,,
25,,33300,310672,11195,20211118,40000,41000,33050,,,,,,,
26,,32100,24650,815,20211117,31050,33500,30750,,,,,,,
27,,30850,3158,98,20211116,30750,31300,30700,,,,,,,
28,,31100,12784,398,20211115,30300,32000,30250,,,,,,,
29,,30050,6801,203,20211112,30150,30750,29500,,,,,,,
30,,30150,4275,130,20211111,29750,30800,29750,,,,,,,
31,,29900,4844,146,20211110,30600,30700,29900,,,,,,,
32,,30550,6830,207,20211109,29900,30650,29500,,,,,,,
33,,29850,1897,57,20211108,29800,30150,29750,,,,,,,
