,종목코드,현재가,거래량,거래대금,일자,시가,고가,저가,수정주가구분,수정비율,대업종구분,소업종구분,종목정보,수정주가이벤트,전일종가
0,08537M,26900,58,2,20220119,27000,27000,26900,,,,,,,
1,,27450,1,0,20220118,27450,27450,27450,,,,,,,
2,,28200,46,1,20220117,27700,28200,27650,,,,,,,
3,,27750,62,2,20220114,25700,27750,25250,,,,,,,
4,,25700,1941,50,20220113,25700,25700,25400,,,,,,,
5,,26400,836,22,20220112,26000,26450,26000,,,,,,,
6,,26350,3,0,20220111,26500,26500,26350,,,,,,,
7,,26700,208,5,20220110,27700,27700,25600,,,,,,,
8,,26900,6,0,20220107,28000,28000,26750,,,,,,,
9,,26600,19,1,20220106,27350,27350,25600,,,,,,,
10,,27900,176,5,20220105,26000,27900,25900,,,,,,,
11,,27900,103,3,20220104,27800,27900,27800,,,,,,,
12,,27750,867,24,20220103,26000,27750,26000,,,,,,,
13,,25300,523,13,20211230,27150,27150,25300,,,,,,,
14,,27100,260,7,20211229,27100,27200,27100,4,0.00,,,,,
15,,26100,527,14,20211228,26900,26900,25350,,,,,,,
16,,25000,478,12,20211227,24550,27500,24550,,,,,,,
17,,24500,566,14,20211224,23600,24500,23600,,,,,,,
18,,23550,201,5,20211223,24000,24000,23050,,,,,,,
19,,24100,161,4,20211222,24800,24800,24100,,,,,,,
20,,24800,11,0,20211221,26500,26500,24800,,,,,,,
21,,25000,1,0,20211220,25000,25000,25000,,,,,,,
22,,24450,5,0,20211217,25000,25000,24450,,,,,,,
23,,24550,714,18,20211216,24400,24650,24400,,,,,,,
24,,24400,1,0,20211215,24400,24400,24400,,,,,,,
25,,24450,28,1,20211214,24100,24450,24100,,,,,,,
26,,24450,206,5,20211213,24000,24450,24000,,,,,,,
27,,24500,33,1,20211210,25000,25000,24500,,,,,,,
28,,25500,265,7,20211209,25450,25800,25450,,,,,,,
29,,25500,46,1,20211208,26100,27000,25500,,,,,,,
30,,26100,313,8,20211207,25100,27000,25100,,,,,,,
31,,25950,452,11,20211206,24500,27000,24500,,,,,,,
32,,24950,1686,41,20211203,22950,24950,22950,,,,,,,
33,,22850,1479,35,20211202,25950,25950,22800,,,,,,,
34,,23800,657,14,20211201,20550,24200,20550,,,,,,,
35,,21150,296,6,20211130,22900,22900,21100,,,,,,,
36,,21400,679,14,20211129,22500,22500,20850,,,,,,,
37,,21700,317,7,20211126,22500,22600,21400,,,,,,,
38,,21850,128,3,20211125,22300,22300,21850,,,,,,,
39,,22400,39,1,20211124,21450,22400,21450,,,,,,,
40,,21500,197,4,20211123,22000,22000,21000,,,,,,,
41,,21950,87,2,20211122,21500,21950,21500,,,,,,,
