,종목코드,현재가,거래량,거래대금,일자,시가,고가,저가,수정주가구분,수정비율,대업종구분,소업종구분,종목정보,수정주가이벤트,전일종가
0,217820,9990,172564,1743,20220119,10050,10350,9930,,,,,,,
1,,10150,374060,3902,20220118,11100,11150,10150,,,,,,,
2,,11050,219720,2459,20220117,11600,11600,11000,,,,,,,
3,,11450,549791,6361,20220114,11300,11850,11050,,,,,,,
4,,11450,933437,10597,20220113,11050,11600,10950,,,,,,,
5,,10900,352081,3902,20220112,11050,11300,10800,,,,,,,
6,,10950,268060,2897,20220111,10650,11050,10400,,,,,,,
7,,10700,129229,1372,20220110,10950,10950,10400,,,,,,,
8,,10850,194663,2086,20220107,10700,11000,10500,,,,,,,
9,,10650,728363,7958,20220106,10350,11300,10200,,,,,,,
10,,10500,494277,5272,20220105,10700,10950,10300,,,,,,,
11,,10650,316478,3290,20220104,9970,10750,9950,,,,,,,
12,,9890,53291,526,20220103,10100,10100,9760,,,,,,,
13,,9920,52711,518,20211230,9800,9930,9700,,,,,,,
14,,9790,68713,667,20211229,9640,9870,9500,4,0.00,,,,,
15,,9450,108067,1033,20211228,9730,9830,9350,,,,,,,
16,,9730,99914,979,20211227,10000,10050,9710,,,,,,,
17,,10000,542500,5455,20211224,9470,10600,9450,,,,,,,
18,,9490,1049785,10882,20211223,9320,11500,9300,,,,,,,
19,,9250,20016,185,20211222,9230,9260,9170,,,,,,,
20,,9190,44879,410,20211221,9260,9270,9100,,,,,,,
21,,9260,42949,398,20211220,9300,9410,9190,,,,,,,
22,,9370,21335,200,20211217,9290,9470,9290,,,,,,,
23,,9390,28308,268,20211216,9600,9610,9380,,,,,,,
24,,9450,30196,284,20211215,9430,9450,9300,,,,,,,
25,,9330,27119,254,20211214,9270,9500,9250,,,,,,,
26,,9400,44312,415,20211213,9400,9470,9240,,,,,,,
27,,9250,234118,2214,20211210,9800,9970,9250,,,,,,,
28,,9920,39122,389,20211209,9850,10050,9750,,,,,,,
29,,9750,37315,368,20211208,10000,10000,9750,,,,,,,
30,,9920,27033,267,20211207,9950,9990,9820,,,,,,,
31,,9930,27014,267,20211206,9880,9990,9800,,,,,,,
32,,9890,24146,240,20211203,9900,10050,9780,,,,,,,
33,,9840,48124,467,20211202,9570,9850,9400,,,,,,,
34,,9640,69594,648,20211201,9080,9690,9050,,,,,,,
35,,9400,116801,1109,20211130,9850,10000,9200,,,,,,,
36,,9800,74788,740,20211129,9890,10050,9700,,,,,,,
37,,9960,151939,1530,20211126,10300,10500,9930,,,,,,,
38,,10400,38155,397,20211125,10500,10600,10300,,,,,,,
39,,10500,68839,720,20211124,10400,10650,10300,,,,,,,
40,,10500,48698,511,20211123,10650,10700,10400,,,,,,,
41,,10750,125422,1326,20211122,10400,10950,10200,,,,,,,
42,,10300,57789,590,20211119,10200,10350,10050,,,,,,,
43,,10250,82178,832,20211118,10150,10300,10000,,,,,,,
44,,10150,93988,964,20211117,10250,10450,10100,,,,,,,
45,,10200,72722,742,20211116,10400,10500,10100,,,,,,,
46,,10400,134757,1370,20211115,10300,10450,9990,,,,,,,
47,,10300,111023,1157,20211112,10300,10700,10250,,,,,,,
48,,10300,172206,1796,20211111,10350,10800,10250,,,,,,,
49,,10600,236781,2560,20211110,11250,11350,10600,,,,,,,
50,,11300,272243,3107,20211109,11400,11650,11200,,,,,,,
51,,11600,1606934,18993,20211108,12000,12300,11350,,,,,,,
52,,10800,196779,2163,20211105,10750,11050,10500,,,,,,,
53,,10750,81734,871,20211104,10650,10800,10500,,,,,,,
54,,10700,77610,828,20211103,10700,10800,10550,,,,,,,
55,,10650,221847,2365,20211102,10900,11150,10450,,,,,,,
56,,10850,141618,1554,20211101,11450,11450,10750,,,,,,,
57,,11250,255028,2924,20211029,11650,11950,11200,,,,,,,
58,,11600,782986,9058,20211028,10900,11850,10900,,,,,,,
59,,10850,84340,913,20211027,11000,11050,10700,,,,,,,
60,,11000,85666,951,20211026,11300,11350,11000,,,,,,,
61,,11200,164342,1828,20211025,11200,11250,11000,,,,,,,
62,,11000,133727,1463,20211022,10900,11100,10750,,,,,,,
63,,10850,221208,2419,20211021,10800,11150,10700,,,,,,,
64,,10750,119688,1285,20211020,10950,10950,10500,,,,,,,
65,,10750,204781,2189,20211019,10400,10950,10350,,,,,,,
66,,10400,95518,998,20211018,10300,10600,10300,,,,,,,
67,,10400,215129,2191,20211015,9750,10500,9750,,,,,,,
68,,9670,34374,331,20211014,9650,9680,9500,,,,,,,
69,,9420,44242,421,20211013,9300,9640,9300,,,,,,,
70,,9300,31554,294,20211012,9440,9440,9240,,,,,,,
71,,9460,33534,318,20211008,9500,9610,9320,,,,,,,
72,,9440,58842,555,20211007,9310,9600,9250,,,,,,,
73,,9290,114998,1082,20211006,9630,9820,9150,,,,,,,
74,,9620,88537,856,20211005,9920,10000,9500,,,,,,,
75,,10050,86180,864,20211001,10000,10250,9950,,,,,,,
76,,10200,57995,585,20210930,9950,10350,9890,,,,,,,
77,,9970,69159,686,20210929,9770,10050,9770,,,,,,,
78,,10050,132133,1353,20210928,10500,10500,10000,,,,,,,
79,,10500,51405,540,20210927,10450,10650,10400,,,,,,,
80,,10550,68436,714,20210924,10350,10600,10350,,,,,,,
81,,10400,68541,711,20210923,10200,10500,10200,,,,,,,
82,,10500,74230,775,20210917,10500,10650,10200,,,,,,,
83,,10450,69063,728,20210916,10600,10700,10450,,,,,,,
84,,10600,142103,1508,20210915,10800,10800,10450,,,,,,,
85,,10850,648547,7056,20210914,10300,11500,10100,,,,,,,
86,,10300,86466,897,20210913,10200,10600,10150,,,,,,,
87,,10100,76932,776,20210910,10150,10300,10000,,,,,,,
88,,10150,47470,484,20210909,10300,10350,10100,,,,,,,
89,,10400,66035,681,20210908,10250,10500,10150,,,,,,,
90,,10250,72704,746,20210907,10450,10500,10050,,,,,,,
91,,10400,44394,466,20210906,10650,10650,10400,,,,,,,
92,,10650,67258,707,20210903,10550,10700,10350,,,,,,,
93,,10450,161461,1708,20210902,10500,10800,10350,,,,,,,
94,,10200,48083,488,20210901,10050,10250,10000,,,,,,,
95,,10150,54681,552,20210831,10000,10250,9980,,,,,,,
96,,10100,101413,1005,20210830,9570,10100,9550,,,,,,,
97,,9530,45827,437,20210827,9620,9670,9450,,,,,,,
98,,9590,34276,329,20210826,9680,9750,9540,,,,,,,
99,,9680,41529,401,20210825,9770,9770,9560,,,,,,,
100,,9700,50452,484,20210824,9500,9730,9470,,,,,,,
101,,9470,94510,887,20210823,9250,9700,9250,,,,,,,
102,,9370,73724,697,20210820,9760,9830,9200,,,,,,,
103,,9740,108393,1060,20210819,9810,9920,9740,,,,,,,
104,,9960,69634,690,20210818,9750,10100,9720,,,,,,,
105,,9850,146233,1452,20210817,10200,10300,9810,,,,,,,
106,,10200,106766,1089,20210813,10500,10600,10000,,,,,,,
107,,10400,70021,726,20210812,10250,10450,10200,,,,,,,
108,,10300,107475,1113,20210811,10450,10550,10250,,,,,,,
109,,10450,71799,752,20210810,10800,10800,10400,,,,,,,
110,,10700,145340,1538,20210809,10400,10800,10250,,,,,,,
111,,10400,48767,504,20210806,10450,10500,10250,,,,,,,
112,,10400,41483,431,20210805,10300,10450,10250,,,,,,,
113,,10300,81416,832,20210804,10150,10400,10100,,,,,,,
114,,10250,63405,649,20210803,10300,10500,10100,,,,,,,
115,,10400,40010,416,20210802,10550,10550,10300,,,,,,,
116,,10550,50170,526,20210730,10450,10700,10400,,,,,,,
117,,10550,48579,510,20210729,10450,10600,10400,,,,,,,
118,,10400,102301,1060,20210728,10450,10550,10200,,,,,,,
119,,10500,49633,527,20210727,10700,10800,10500,,,,,,,
120,,10750,75788,816,20210726,10850,10950,10650,,,,,,,
121,,10850,78549,849,20210723,10800,10900,10750,,,,,,,
122,,10850,112793,1233,20210722,11100,11200,10700,,,,,,,
123,,11000,101865,1140,20210721,11500,11500,10900,,,,,,,
124,,11300,113720,1283,20210720,11100,11400,11000,,,,,,,
125,,11300,107036,1205,20210719,11350,11400,11050,,,,,,,
126,,11250,141210,1575,20210716,10900,11400,10850,,,,,,,
127,,11100,108938,1218,20210715,11250,11350,11000,,,,,,,
128,,11200,206948,2288,20210714,10900,11400,10550,,,,,,,
129,,10800,162779,1765,20210713,10550,11100,10400,,,,,,,
130,,10500,64403,671,20210712,10300,10550,10300,,,,,,,
131,,10300,256950,2615,20210709,10350,10450,9990,,,,,,,
132,,10550,120838,1292,20210708,10800,11000,10500,,,,,,,
133,,10800,45381,492,20210707,10900,10950,10750,,,,,,,
134,,10850,68545,749,20210706,11000,11050,10800,,,,,,,
135,,10900,55358,605,20210705,10900,11000,10800,,,,,,,
136,,10900,64080,696,20210702,11000,11000,10800,,,,,,,
137,,10950,74215,808,20210701,11000,11050,10800,,,,,,,
138,,10950,233456,2537,20210630,11200,11350,10700,,,,,,,
139,,11200,66219,749,20210629,11300,11500,11150,,,,,,,
140,,11150,54834,610,20210628,11000,11250,11000,,,,,,,
141,,10950,70523,781,20210625,10950,11300,10950,,,,,,,
142,,10950,70412,774,20210624,11200,11200,10900,,,,,,,
143,,11150,143730,1618,20210623,11500,11500,11100,,,,,,,
144,,11450,58799,675,20210622,11500,11600,11350,,,,,,,
145,,11450,90117,1035,20210621,11500,11700,11350,,,,,,,
146,,11650,96038,1121,20210618,11750,11850,11600,,,,,,,
147,,11850,103464,1221,20210617,11900,12000,11700,,,,,,,
148,,11900,113087,1340,20210616,12000,12050,11750,,,,,,,
149,,12000,338055,4042,20210615,11600,12150,11550,,,,,,,
150,,11550,95007,1092,20210614,11450,11650,11350,,,,,,,
151,,11350,211162,2434,20210611,11450,11800,11350,,,,,,,
152,,11550,62063,717,20210610,11600,11650,11450,,,,,,,
153,,11650,77742,899,20210609,11700,11700,11500,,,,,,,
154,,11600,117756,1355,20210608,11350,11700,11250,,,,,,,
155,,11450,193771,2221,20210607,11750,11800,11350,,,,,,,
156,,11750,57710,674,20210604,11850,11850,11600,,,,,,,
157,,11850,104802,1248,20210603,11900,12100,11800,,,,,,,
158,,11850,101689,1197,20210602,11700,11900,11650,,,,,,,
159,,11700,213797,2481,20210601,11800,11800,11500,,,,,,,
160,,11800,190168,2255,20210531,12000,12150,11750,,,,,,,
161,,12250,149417,1818,20210528,11800,12400,11800,,,,,,,
162,,11700,132618,1560,20210527,12000,12050,11650,,,,,,,
163,,12000,181831,2214,20210526,12650,12650,11850,,,,,,,
164,,12650,144392,1832,20210525,13100,13100,12500,,,,,,,
165,,12900,184430,2407,20210524,12750,13450,12550,,,,,,,
166,,12900,176474,2311,20210521,13200,13400,12850,,,,,,,
167,,13300,306761,4051,20210520,12750,13500,12700,,,,,,,
168,,12850,243607,3157,20210518,13200,13250,12750,,,,,,,
169,,13350,499491,6694,20210517,13650,13900,12950,,,,,,,
170,,13600,1417490,18930,20210514,12550,13800,12550,,,,,,,
