,종목코드,현재가,거래량,거래대금,일자,시가,고가,저가,수정주가구분,수정비율,대업종구분,소업종구분,종목정보,수정주가이벤트,전일종가
0,33626K,11800,16789,196,20220203,11350,11900,11350,,,,,,,
1,,11200,31245,341,20220128,10950,11300,10550,,,,,,,
2,,11150,48868,543,20220127,11650,11900,10700,,,,,,,
3,,11850,15844,188,20220126,11350,12050,11350,,,,,,,
4,,11850,26857,318,20220125,12350,12500,11150,,,,,,,
5,,12350,27663,346,20220124,12950,13000,12300,,,,,,,
6,,13000,12969,169,20220121,12950,13200,12800,,,,,,,
7,,12950,15699,199,20220120,12550,13000,12550,,,,,,,
8,,12850,13694,175,20220119,12650,13000,12650,,,,,,,
9,,12900,22146,290,20220118,13200,13450,12800,,,,,,,
10,,13200,131256,1841,20220117,13450,15100,13200,,,,,,,
11,,13350,20175,272,20220114,13650,13650,13350,,,,,,,
12,,13750,17378,239,20220113,13550,13900,13500,,,,,,,
13,,13550,12432,170,20220112,13600,13850,13550,,,,,,,
14,,13600,19899,271,20220111,13700,13900,13500,,,,,,,
15,,13850,22078,306,20220110,14200,14200,13750,,,,,,,
16,,14200,9558,135,20220107,14000,14200,13950,,,,,,,
17,,13900,28101,398,20220106,14350,14350,13900,,,,,,,
18,,14450,12253,177,20220105,14350,14500,14350,,,,,,,
19,,14450,17518,252,20220104,14450,14450,14300,,,,,,,
20,,14500,15586,225,20220103,14500,14500,14350,,,,,,,
21,,14500,10297,149,20211230,14500,14550,14350,,,,,,,
22,,14450,15561,223,20211229,14300,14450,14250,4,0.00,,,,,
23,,14300,56706,815,20211228,14700,14700,14250,,,,,,,
24,,14700,16323,241,20211227,14900,15200,14600,,,,,,,
25,,14900,11678,176,20211224,15100,15150,14900,,,,,,,
26,,15000,30498,456,20211223,15000,15300,14750,,,,,,,
27,,15050,16899,251,20211222,15100,15100,14700,,,,,,,
28,,15000,7949,119,20211221,15000,15250,14900,,,,,,,
29,,15150,16580,251,20211220,15400,15400,14900,,,,,,,
30,,15200,35006,531,20211217,14850,15400,14650,,,,,,,
31,,14850,17414,260,20211216,14600,15100,14600,,,,,,,
32,,14550,12221,180,20211215,14450,14950,14450,,,,,,,
33,,14700,20724,304,20211214,14600,14850,14250,,,,,,,
34,,14600,8055,119,20211213,14700,14800,14600,,,,,,,
35,,14650,11558,169,20211210,14800,14800,14550,,,,,,,
36,,14800,8495,126,20211209,14750,14900,14650,,,,,,,
37,,14800,11690,174,20211208,15000,15000,14750,,,,,,,
38,,14900,23621,350,20211207,14600,15050,14600,,,,,,,
39,,14750,13163,191,20211206,14700,14800,14350,,,,,,,
40,,14700,9841,144,20211203,14450,14800,14400,,,,,,,
41,,14500,17577,254,20211202,14600,14650,14250,,,,,,,
42,,14600,24554,354,20211201,14700,14700,14200,,,,,,,
43,,14400,24304,354,20211130,14950,15000,14350,,,,,,,
44,,14700,24917,363,20211129,14200,14800,14200,,,,,,,
45,,14800,34733,517,20211126,15250,15250,14700,,,,,,,
46,,15050,19727,297,20211125,15050,15200,14950,,,,,,,
47,,15050,19876,301,20211124,15200,15250,15000,,,,,,,
48,,15050,18533,281,20211123,15150,15300,15050,,,,,,,
49,,15150,25590,390,20211122,15300,15400,15100,,,,,,,
50,,15300,15492,238,20211119,15200,15450,15200,,,,,,,
51,,15200,37442,573,20211118,15500,15600,15200,,,,,,,
52,,15550,28988,450,20211117,15600,15750,15350,,,,,,,
53,,15600,13476,210,20211116,15750,15750,15500,,,,,,,
54,,15650,31249,489,20211115,15400,15850,15400,,,,,,,
55,,15350,26742,412,20211112,15450,15600,15100,,,,,,,
56,,15200,37388,569,20211111,15250,15700,15050,,,,,,,
57,,15350,35675,560,20211110,15850,16100,15350,,,,,,,
58,,15750,39591,627,20211109,15600,16150,15550,,,,,,,
59,,15450,15011,231,20211108,15500,15650,15200,,,,,,,
60,,15500,18331,284,20211105,15500,15700,15450,,,,,,,
61,,15500,38058,597,20211104,15950,16000,15400,,,,,,,
62,,15850,31400,499,20211103,15900,16150,15700,,,,,,,
63,,15900,22223,356,20211102,15900,16100,15900,,,,,,,
64,,15650,14788,234,20211101,16050,16050,15650,,,,,,,
65,,15850,18361,292,20211029,16000,16000,15750,,,,,,,
66,,15800,38652,622,20211028,16300,16350,15800,,,,,,,
67,,16350,49767,814,20211027,16300,16550,16100,,,,,,,
68,,16250,148014,2408,20211026,15700,16750,15700,,,,,,,
69,,15650,11855,185,20211025,15600,15650,15450,,,,,,,
70,,15600,14618,228,20211022,15800,15800,15450,,,,,,,
71,,15650,26564,419,20211021,16000,16050,15650,,,,,,,
72,,15900,24502,389,20211020,15900,16000,15750,,,,,,,
73,,15850,29805,475,20211019,15900,16100,15850,,,,,,,
74,,15900,22945,366,20211018,16150,16150,15850,,,,,,,
75,,16150,38003,616,20211015,16450,16450,16000,,,,,,,
76,,16350,61208,999,20211014,16100,16550,16050,,,,,,,
77,,15950,28545,455,20211013,15750,16050,15650,,,,,,,
78,,15800,29712,469,20211012,15650,16100,15600,,,,,,,
79,,15850,64985,1026,20211008,15800,16100,15250,,,,,,,
80,,15150,21670,326,20211007,14900,15200,14800,,,,,,,
81,,14750,45095,675,20211006,15600,15600,14450,,,,,,,
82,,15250,39259,598,20211005,15750,15750,14950,,,,,,,
83,,15750,35078,556,20211001,16250,16250,15700,,,,,,,
84,,16200,20251,326,20210930,16100,16250,15950,,,,,,,
85,,16150,35851,574,20210929,15800,16200,15750,,,,,,,
86,,16300,42988,707,20210928,16750,16800,16250,,,,,,,
87,,16450,141909,2339,20210927,16000,16850,15750,,,,,,,
88,,15800,31280,492,20210924,16050,16050,15500,,,,,,,
89,,15700,28252,444,20210923,15900,15950,15500,,,,,,,
90,,16000,33772,538,20210917,16050,16250,15800,,,,,,,
91,,16150,36835,594,20210916,16050,16200,15900,,,,,,,
92,,16000,18670,299,20210915,16000,16100,15850,,,,,,,
93,,16000,41366,660,20210914,15800,16050,15700,,,,,,,
94,,15800,39399,618,20210913,15750,16000,15450,,,,,,,
95,,15800,18600,294,20210910,16000,16250,15700,,,,,,,
96,,16000,38374,617,20210909,16250,16350,15850,,,,,,,
97,,16150,45637,734,20210908,16500,16500,15950,,,,,,,
98,,16400,45110,737,20210907,16300,16550,16150,,,,,,,
99,,16300,48282,793,20210906,16250,16650,16250,,,,,,,
100,,16200,38443,623,20210903,16250,16400,16050,,,,,,,
101,,16100,29063,470,20210902,16300,16350,16000,,,,,,,
102,,16100,40739,656,20210901,16400,16400,15900,,,,,,,
103,,16150,124885,2027,20210831,16350,16500,15700,,,,,,,
104,,15950,77413,1252,20210830,16300,16450,15850,,,,,,,
105,,15800,148063,2354,20210827,15350,16300,15000,,,,,,,
106,,15350,35183,536,20210826,15200,15450,15000,,,,,,,
107,,15100,26812,401,20210825,14950,15150,14750,,,,,,,
108,,14850,37978,564,20210824,14300,15100,14300,,,,,,,
109,,14250,25685,366,20210823,14050,14450,14000,,,,,,,
110,,14200,39063,560,20210820,14550,14700,14100,,,,,,,
111,,14600,29940,439,20210819,14550,14900,14450,,,,,,,
112,,14850,23113,340,20210818,14350,14900,14350,,,,,,,
113,,14400,44219,645,20210817,14950,15100,14400,,,,,,,
114,,14950,47712,717,20210813,15300,15400,14850,,,,,,,
115,,15300,64245,988,20210812,15700,15750,15100,,,,,,,
116,,15600,27192,428,20210811,15850,16000,15600,,,,,,,
117,,15850,40649,643,20210810,15850,16200,15700,,,,,,,
118,,15850,55236,875,20210809,15950,16050,15700,,,,,,,
119,,15950,40800,655,20210806,15850,16300,15700,,,,,,,
120,,15750,18099,284,20210805,15700,15800,15550,,,,,,,
121,,15500,33701,523,20210804,15500,15650,15350,,,,,,,
122,,15500,39260,611,20210803,15800,15800,15350,,,,,,,
123,,15750,24808,391,20210802,15950,15950,15650,,,,,,,
124,,15900,45669,734,20210730,16300,16400,15850,,,,,,,
125,,16300,25087,411,20210729,16400,16550,16250,,,,,,,
126,,16200,30836,500,20210728,16300,16450,16100,,,,,,,
127,,16250,26142,428,20210727,16450,16500,16250,,,,,,,
128,,16300,56881,938,20210726,16800,16850,16300,,,,,,,
129,,16800,39957,668,20210723,16950,16950,16500,,,,,,,
130,,16800,77002,1305,20210722,17450,17550,16800,,,,,,,
131,,17300,214770,3758,20210721,17300,17850,17150,,,,,,,
132,,17000,67778,1156,20210720,17000,17300,16850,,,,,,,
133,,17200,114113,1956,20210719,16800,17350,16500,,,,,,,
134,,16850,47588,802,20210716,17050,17100,16600,,,,,,,
135,,17050,78916,1338,20210715,16600,17100,16500,,,,,,,
136,,16600,21542,356,20210714,16700,16700,16450,,,,,,,
137,,16700,41646,694,20210713,16750,16800,16450,,,,,,,
138,,16450,37958,622,20210712,16100,16650,16100,,,,,,,
139,,16200,69173,1119,20210709,16400,16400,15950,,,,,,,
140,,16600,100882,1684,20210708,17050,17050,16500,,,,,,,
141,,17050,44363,759,20210707,17300,17300,16950,,,,,,,
142,,17200,65419,1119,20210706,17150,17250,16900,,,,,,,
143,,17100,108816,1870,20210705,16950,17400,16850,,,,,,,
144,,16850,56775,960,20210702,17150,17150,16800,,,,,,,
145,,17000,57448,976,20210701,17200,17200,16850,,,,,,,
146,,16850,47406,802,20210630,17000,17050,16850,,,,,,,
147,,17000,95102,1623,20210629,16700,17350,16700,,,,,,,
148,,16700,63379,1059,20210628,16550,16850,16550,,,,,,,
149,,16550,82416,1375,20210625,16700,16900,16500,,,,,,,
150,,16600,89084,1480,20210624,17000,17000,16500,,,,,,,
151,,16950,102510,1727,20210623,17100,17200,16650,,,,,,,
152,,17100,136048,2348,20210622,17550,17600,17050,,,,,,,
153,,17300,142438,2464,20210621,17700,17700,17100,,,,,,,
154,,17700,278274,4931,20210618,17600,18000,17400,,,,,,,
155,,17300,617506,10771,20210617,16550,18100,16500,,,,,,,
156,,16650,167600,2763,20210616,16700,16700,16300,,,,,,,
157,,16700,309938,5222,20210615,17050,17350,16600,,,,,,,
158,,16650,1005747,17255,20210614,18100,18500,16350,,,,,,,
159,,17050,5137628,94016,20210611,15700,20000,15650,,,,,,,
160,,15600,80799,1261,20210610,15950,16000,15450,,,,,,,
161,,15900,122306,1981,20210609,15900,16800,15850,,,,,,,
162,,15900,127696,2051,20210608,16700,16900,15650,,,,,,,
163,,16500,425248,6975,20210607,15750,16950,15700,,,,,,,
164,,15700,55711,873,20210604,15800,15800,15500,,,,,,,
165,,15800,128352,2030,20210603,16150,16150,15550,,,,,,,
166,,15800,428555,6902,20210602,15400,16650,15200,,,,,,,
167,,15200,57204,874,20210601,15550,15550,15200,,,,,,,
168,,15450,109554,1679,20210531,15000,15500,14900,,,,,,,
169,,15000,35204,526,20210528,14950,15050,14800,,,,,,,
170,,14950,40993,613,20210527,15100,15200,14850,,,,,,,
171,,15000,65879,987,20210526,14750,15150,14700,,,,,,,
172,,14750,28972,428,20210525,14900,14950,14650,,,,,,,
173,,14750,34376,510,20210524,15050,15050,14700,,,,,,,
174,,14850,61152,917,20210521,14850,15300,14800,,,,,,,
175,,14800,37830,560,20210520,14800,14950,14700,,,,,,,
176,,14800,25028,370,20210518,14600,14900,14550,,,,,,,
177,,14650,35346,520,20210517,14850,14900,14650,,,,,,,
178,,14750,29110,431,20210514,14750,14900,14700,,,,,,,
179,,14700,68953,1015,20210513,14750,14900,14450,,,,,,,
180,,14800,49001,732,20210512,15250,15300,14800,,,,,,,
181,,15200,59232,895,20210511,15350,15350,15000,,,,,,,
182,,15400,161358,2476,20210510,15000,15550,14950,,,,,,,
183,,14800,46541,686,20210507,14500,14900,14500,,,,,,,
184,,14550,76999,1101,20210506,13850,14550,13800,,,,,,,
185,,14150,159291,2227,20210504,14300,14300,13550,,,,,,,
186,,14350,89722,1307,20210503,15100,15100,14350,,,,,,,
187,,14900,64685,963,20210430,14750,15100,14700,,,,,,,
188,,14750,55705,819,20210429,14650,14850,14550,,,,,,,
189,,14500,147944,2164,20210428,14950,15000,14400,,,,,,,
190,,15050,66028,994,20210427,15150,15200,14950,,,,,,,
191,,15050,110764,1678,20210426,15400,15400,15050,,,,,,,
192,,15400,79073,1226,20210423,15800,15800,15350,,,,,,,
193,,15600,119088,1863,20210422,15950,16050,15500,,,,,,,
194,,15700,391910,6263,20210421,15350,16650,15300,,,,,,,
195,,15200,56539,858,20210420,15150,15300,15050,,,,,,,
