,종목코드,현재가,거래량,거래대금,일자,시가,고가,저가,수정주가구분,수정비율,대업종구분,소업종구분,종목정보,수정주가이벤트,전일종가
0,33637L,21500,3227,69,20220203,21600,21900,21250,,,,,,,
1,,21350,15993,338,20220128,21950,21950,20650,,,,,,,
2,,21950,10981,245,20220127,23700,23700,21950,,,,,,,
3,,23700,2514,60,20220126,23950,24350,23700,,,,,,,
4,,24450,3231,78,20220125,24800,25150,23850,,,,,,,
5,,25150,2497,63,20220124,25950,26000,24850,,,,,,,
6,,25950,1273,33,20220121,26100,26350,25850,,,,,,,
7,,26100,2563,66,20220120,25750,26100,25450,,,,,,,
8,,25750,2588,67,20220119,26350,26350,25650,,,,,,,
9,,26400,2098,55,20220118,26050,26700,26050,,,,,,,
10,,26550,1707,46,20220117,26350,28000,26350,,,,,,,
11,,26750,1390,37,20220114,26800,26850,26450,,,,,,,
12,,26650,591,16,20220113,26850,27200,26550,,,,,,,
13,,26850,938,25,20220112,26500,26900,26500,,,,,,,
14,,26500,1192,32,20220111,26650,27100,26400,,,,,,,
15,,26850,1092,29,20220110,26600,27500,26600,,,,,,,
16,,27000,542,15,20220107,27900,28000,26900,,,,,,,
17,,26800,1996,54,20220106,27350,27900,26750,,,,,,,
18,,27350,1646,46,20220105,28050,28150,27350,,,,,,,
19,,28050,2192,61,20220104,27500,28600,27500,,,,,,,
20,,28000,426,12,20220103,28600,28750,27950,,,,,,,
21,,28100,2172,61,20211230,28400,28400,27650,,,,,,,
22,,27950,845,23,20211229,27100,28400,27100,4,0.00,,,,,
23,,28100,1167,33,20211228,27750,28500,27750,,,,,,,
24,,27900,775,22,20211227,27800,28300,27650,,,,,,,
25,,27850,1686,47,20211224,27900,28600,27350,,,,,,,
26,,28100,2549,72,20211223,27150,28550,27150,,,,,,,
27,,27350,1168,32,20211222,27050,27500,26850,,,,,,,
28,,26950,2736,74,20211221,27200,27750,26850,,,,,,,
29,,27150,4558,126,20211220,28050,28100,27150,,,,,,,
30,,28150,2051,58,20211217,28650,28650,28050,,,,,,,
31,,28250,1404,40,20211216,28800,28800,28250,,,,,,,
32,,28300,3434,97,20211215,28550,28800,28000,,,,,,,
33,,28550,2039,58,20211214,29300,29300,28500,,,,,,,
34,,28750,1490,43,20211213,29800,29800,28600,,,,,,,
35,,29100,5342,156,20211210,28550,29900,28500,,,,,,,
36,,28550,2595,75,20211209,28500,29000,28500,,,,,,,
37,,28750,3092,89,20211208,28600,29250,28500,,,,,,,
38,,28550,1555,44,20211207,28500,29250,28400,,,,,,,
39,,28350,3149,90,20211206,28800,29250,28250,,,,,,,
40,,29150,1290,37,20211203,29350,29350,28800,,,,,,,
41,,29000,5946,173,20211202,29600,29650,28800,,,,,,,
42,,29650,3458,101,20211201,29000,30200,28700,,,,,,,
43,,29050,8073,242,20211130,31050,31050,29050,,,,,,,
44,,30650,10412,319,20211129,30250,31650,30150,,,,,,,
45,,31750,4325,138,20211126,31850,33000,31650,,,,,,,
46,,32350,7564,247,20211125,32300,33150,32250,,,,,,,
47,,32250,14925,476,20211124,30900,33050,30750,,,,,,,
48,,30950,13987,433,20211123,30900,31850,30600,,,,,,,
49,,31300,22003,700,20211122,33300,33300,31150,,,,,,,
50,,33850,35463,1197,20211119,34100,34450,32300,,,,,,,
51,,33300,310672,11195,20211118,40000,41000,33050,,,,,,,
52,,32100,24650,815,20211117,31050,33500,30750,,,,,,,
53,,30850,3158,98,20211116,30750,31300,30700,,,,,,,
54,,31100,12784,398,20211115,30300,32000,30250,,,,,,,
55,,30050,6801,203,20211112,30150,30750,29500,,,,,,,
56,,30150,4275,130,20211111,29750,30800,29750,,,,,,,
57,,29900,4844,146,20211110,30600,30700,29900,,,,,,,
58,,30550,6830,207,20211109,29900,30650,29500,,,,,,,
59,,29850,1897,57,20211108,29800,30150,29750,,,,,,,
60,,29900,2355,71,20211105,30100,30350,29900,,,,,,,
61,,29800,944,28,20211104,29700,30200,29500,,,,,,,
62,,29700,2604,78,20211103,30050,30450,29700,,,,,,,
63,,30100,1914,57,20211102,30000,30300,29800,,,,,,,
64,,30000,807,24,20211101,30250,30250,29900,,,,,,,
65,,30250,4192,126,20211029,30150,30750,29700,,,,,,,
66,,30200,1316,40,20211028,30400,30750,30200,,,,,,,
67,,30500,1396,43,20211027,31000,31000,30350,,,,,,,
68,,31000,1137,35,20211026,30500,31400,30500,,,,,,,
69,,30800,1106,34,20211025,31000,31250,30750,,,,,,,
70,,31000,2204,68,20211022,31000,31450,30850,,,,,,,
71,,31000,4636,143,20211021,31500,31950,30750,,,,,,,
72,,31850,9073,292,20211020,31400,32700,31400,,,,,,,
73,,31700,6024,190,20211019,31200,32000,31150,,,,,,,
74,,31150,10605,330,20211018,30600,31750,30450,,,,,,,
75,,30300,4872,148,20211015,31050,31050,30150,,,,,,,
76,,30750,4713,146,20211014,30750,31300,30500,,,,,,,
77,,30350,5570,168,20211013,29600,30600,29250,,,,,,,
78,,29300,8296,246,20211012,30350,30400,29050,,,,,,,
79,,30150,38114,1201,20211008,28750,33450,28750,,,,,,,
80,,28750,6904,199,20211007,29500,30350,28300,,,,,,,
81,,29350,7132,214,20211006,30500,31150,29350,,,,,,,
82,,30450,12257,376,20211005,30550,32000,28050,,,,,,,
83,,30700,5922,185,20211001,30900,32000,30700,,,,,,,
84,,30900,2939,91,20210930,30400,31150,30250,,,,,,,
85,,30750,4697,143,20210929,30500,31050,30100,,,,,,,
86,,30850,8203,254,20210928,31950,32300,30550,,,,,,,
87,,32000,12363,391,20210927,31000,32450,30450,,,,,,,
88,,30500,7763,238,20210924,31300,31300,30500,,,,,,,
89,,30500,1433,44,20210923,30750,30750,30200,,,,,,,
90,,30400,4373,134,20210917,31100,31100,30400,,,,,,,
91,,31150,989,31,20210916,31150,31900,31150,,,,,,,
92,,31550,2014,64,20210915,31750,32000,31200,,,,,,,
93,,31750,3983,126,20210914,31700,31750,31000,,,,,,,
94,,31100,3105,96,20210913,30500,31450,30400,,,,,,,
95,,30700,1838,57,20210910,31550,31550,30700,,,,,,,
96,,31400,1987,62,20210909,31200,31800,30950,,,,,,,
97,,31600,1044,33,20210908,31600,31700,30900,,,,,,,
98,,31600,3491,110,20210907,30900,31750,30900,,,,,,,
99,,30850,1287,40,20210906,31850,31850,30750,,,,,,,
100,,31050,3010,93,20210903,29950,31250,29950,,,,,,,
101,,30250,2081,63,20210902,30700,30950,30250,,,,,,,
102,,30700,2089,65,20210901,31300,31350,30700,,,,,,,
103,,30800,4859,149,20210831,30150,30900,30150,,,,,,,
104,,30100,3511,107,20210830,30500,30900,30100,,,,,,,
105,,30700,2766,84,20210827,30600,30700,29850,,,,,,,
106,,30600,2037,62,20210826,30600,30950,30350,,,,,,,
107,,30600,1778,54,20210825,31000,31000,30300,,,,,,,
108,,30600,5458,168,20210824,31450,31450,30450,,,,,,,
109,,30550,5465,167,20210823,31650,31650,30050,,,,,,,
110,,30700,5573,172,20210820,31500,31950,30450,,,,,,,
111,,31500,2071,66,20210819,31800,33000,31500,,,,,,,
112,,32150,4045,128,20210818,31100,32150,31100,,,,,,,
113,,31100,21418,680,20210817,33750,33800,30700,,,,,,,
114,,33750,10867,370,20210813,35200,35300,33250,,,,,,,
115,,34800,9979,345,20210812,34300,34900,33850,,,,,,,
116,,33950,7834,268,20210811,33950,34950,33700,,,,,,,
117,,33950,9126,310,20210810,34600,34750,33600,,,,,,,
118,,34550,41765,1470,20210809,34350,35950,33200,,,,,,,
119,,34350,7314,250,20210806,34250,34700,33800,,,,,,,
120,,33900,3675,122,20210805,33100,33950,32650,,,,,,,
121,,33000,3732,123,20210804,33450,34000,32600,,,,,,,
122,,33500,7253,241,20210803,34000,34000,32400,,,,,,,
123,,33400,8956,303,20210802,34150,34300,33350,,,,,,,
124,,34600,13829,477,20210730,34050,34800,33800,,,,,,,
125,,34550,16418,560,20210729,33850,34800,33250,,,,,,,
126,,33850,10599,354,20210728,33500,33950,32150,,,,,,,
127,,33800,10120,336,20210727,32750,33900,32750,,,,,,,
128,,33250,10448,346,20210726,32450,33950,32450,,,,,,,
129,,32800,8584,280,20210723,32300,32950,32050,,,,,,,
130,,32300,3564,114,20210722,32350,32350,31500,,,,,,,
131,,31900,13187,423,20210721,31700,32950,31450,,,,,,,
132,,31300,15104,474,20210720,31500,31900,31100,,,,,,,
133,,32300,28490,919,20210719,32700,33350,30850,,,,,,,
134,,33100,166422,5572,20210716,31550,35250,31050,,,,,,,
135,,31050,26589,840,20210715,31500,32350,30950,,,,,,,
136,,31500,80402,2535,20210714,30750,32350,30400,,,,,,,
137,,30950,401507,13373,20210713,29950,35500,29850,,,,,,,
138,,29700,2783,82,20210712,29500,29800,29200,,,,,,,
139,,29100,3815,111,20210709,29150,29550,28750,,,,,,,
140,,29550,4033,119,20210708,29900,29900,29200,,,,,,,
141,,29950,3794,113,20210707,30150,30150,29650,,,,,,,
142,,30150,3184,96,20210706,30400,30400,29850,,,,,,,
143,,30200,2638,79,20210705,30250,30550,29650,,,,,,,
144,,30250,8338,253,20210702,29700,31500,29700,,,,,,,
145,,29500,2026,60,20210701,29950,29950,29450,,,,,,,
146,,29700,2810,83,20210630,29900,29950,29500,,,,,,,
147,,29450,2120,62,20210629,29400,29700,29200,,,,,,,
148,,29400,5729,169,20210628,30050,30050,29250,,,,,,,
149,,29800,11225,334,20210625,30250,30450,29500,,,,,,,
150,,30200,13286,405,20210624,31050,31300,30150,,,,,,,
151,,31250,15323,471,20210623,30300,31800,30200,,,,,,,
152,,30550,19710,603,20210622,31700,31700,30000,,,,,,,
153,,31300,150073,4858,20210621,29500,34800,29350,,,,,,,
154,,29500,21905,655,20210618,29000,30850,29000,,,,,,,
155,,29400,11602,340,20210617,29300,29550,29000,,,,,,,
156,,29000,13368,385,20210616,29000,29300,28500,,,,,,,
157,,29550,13079,383,20210615,29300,29800,29000,,,,,,,
158,,28750,38436,1135,20210614,30600,31000,28650,,,,,,,
159,,29300,365971,11763,20210611,28250,35500,27600,,,,,,,
160,,28050,1793,50,20210610,27950,28050,27250,,,,,,,
161,,27650,2425,67,20210609,27250,28000,27250,,,,,,,
162,,27450,1696,47,20210608,27800,27900,27450,,,,,,,
163,,27800,1863,52,20210607,28450,28450,27250,,,,,,,
164,,27700,1618,45,20210604,27900,28100,27650,,,,,,,
165,,28250,1524,43,20210603,28050,28400,27900,,,,,,,
166,,28050,2530,71,20210602,28050,28100,27500,,,,,,,
167,,27650,2593,71,20210601,27950,27950,27350,,,,,,,
168,,27950,2865,80,20210531,27950,28000,27150,,,,,,,
169,,27950,2741,77,20210528,28450,28450,27950,,,,,,,
170,,28000,5934,165,20210527,28800,28800,27600,,,,,,,
171,,28250,2452,69,20210526,28500,29100,28000,,,,,,,
172,,28400,1142,33,20210525,28550,29600,28100,,,,,,,
173,,28550,4465,128,20210524,29350,29650,28200,,,,,,,
174,,29250,3427,101,20210521,29700,29700,28700,,,,,,,
175,,29700,4619,136,20210520,30000,30000,29200,,,,,,,
176,,29850,12783,389,20210518,30850,32000,29850,,,,,,,
177,,30950,8124,251,20210517,30500,31350,30500,,,,,,,
178,,30400,7779,240,20210514,30700,32200,30200,,,,,,,
179,,30250,5922,180,20210513,31600,31600,30000,,,,,,,
180,,31650,29523,942,20210512,32200,32900,30650,,,,,,,
181,,31000,35704,1128,20210511,31400,31650,30250,,,,,,,
182,,31150,81155,2486,20210510,28650,31900,28100,,,,,,,
183,,27900,4876,137,20210507,27350,28400,27350,,,,,,,
184,,27250,5030,136,20210506,26900,27300,26400,,,,,,,
185,,26550,5644,150,20210504,27050,27150,26000,,,,,,,
186,,27250,3877,107,20210503,27150,28000,27150,,,,,,,
187,,27700,9780,271,20210430,28500,28800,26950,,,,,,,
188,,28600,11822,330,20210429,26900,28650,26850,,,,,,,
189,,26850,3727,101,20210428,27250,27450,26800,,,,,,,
190,,27300,4234,115,20210427,27050,27550,26900,,,,,,,
191,,27500,9165,248,20210426,26900,27550,26600,,,,,,,
192,,26900,6235,169,20210423,27100,27500,26500,,,,,,,
193,,26900,10848,291,20210422,26750,27450,26050,,,,,,,
194,,26250,10355,270,20210421,25450,26750,25450,,,,,,,
195,,25700,5744,147,20210420,25500,25800,25200,,,,,,,
196,,25150,3301,83,20210419,25300,25450,25100,,,,,,,
197,,25350,10831,272,20210416,25100,25500,24900,,,,,,,
198,,25650,3208,82,20210415,25800,25800,25050,,,,,,,
199,,25650,4355,112,20210414,25500,25800,25500,,,,,,,
200,,25350,5323,136,20210413,25550,25800,25200,,,,,,,
201,,25400,6750,171,20210412,25750,25750,24950,,,,,,,
202,,24700,2228,55,20210409,24700,25150,24650,,,,,,,
203,,24700,1187,29,20210408,25150,25150,24650,,,,,,,
204,,24650,2305,57,20210407,24900,25050,24350,,,,,,,
205,,24900,2354,58,20210406,24950,25150,24450,,,,,,,
206,,24950,1539,38,20210405,24950,25250,24350,,,,,,,
207,,25100,2335,59,20210402,24600,25350,24600,,,,,,,
208,,24750,3957,98,20210401,25500,25500,24100,,,,,,,
209,,23950,2343,56,20210331,23950,24350,23800,,,,,,,
210,,23900,2702,64,20210330,23600,24500,23400,,,,,,,
211,,23450,2965,70,20210329,23750,24250,23400,,,,,,,
212,,24100,2019,49,20210326,24200,24550,24050,,,,,,,
213,,24350,2026,49,20210325,24200,24500,24000,,,,,,,
214,,24200,15722,377,20210324,25450,25750,22950,,,,,,,
215,,25200,2190,55,20210323,26000,26000,25150,,,,,,,
216,,25850,2724,70,20210322,26200,26400,25250,,,,,,,
217,,26100,1576,41,20210319,26500,26500,25300,,,,,,,
218,,26500,1086,29,20210318,27000,27000,26100,,,,,,,
219,,26400,6327,163,20210317,26450,26950,25000,,,,,,,
220,,26600,35860,991,20210316,25550,28850,25550,,,,,,,
221,,25450,2402,61,20210315,25350,25600,25100,,,,,,,
222,,25250,2163,55,20210312,25300,25350,25100,,,,,,,
223,,25050,932,23,20210311,25350,25350,24450,,,,,,,
224,,24900,833,21,20210310,25100,25500,24400,,,,,,,
225,,24900,6668,163,20210309,25500,25500,23800,,,,,,,
226,,25800,1763,46,20210308,26200,26450,25400,,,,,,,
227,,26450,2674,70,20210305,26100,26600,25750,,,,,,,
228,,26900,1545,41,20210304,27400,27400,26300,,,,,,,
229,,26850,1534,41,20210303,27000,27650,26800,,,,,,,
230,,26800,2788,75,20210302,26700,27500,26700,,,,,,,
231,,26700,6790,181,20210226,27000,27300,26250,,,,,,,
232,,27700,3013,84,20210225,28900,28900,27500,,,,,,,
233,,27400,3036,86,20210224,28950,30350,27100,,,,,,,
234,,28900,3426,99,20210223,29250,29300,28800,,,,,,,
235,,29300,3065,90,20210222,29450,29850,29300,,,,,,,
236,,29850,3483,104,20210219,29900,30100,29400,,,,,,,
237,,29850,4190,125,20210218,30500,30500,29850,,,,,,,
238,,30050,7010,211,20210217,30100,30350,30000,,,,,,,
239,,29950,4578,137,20210216,30200,30350,29750,,,,,,,
240,,30200,7913,238,20210215,30150,30450,29850,,,,,,,
241,,30150,8125,244,20210210,29950,30550,29850,,,,,,,
242,,30850,29918,909,20210209,31850,31850,29900,,,,,,,
243,,32000,4833,155,20210208,32150,32300,31750,,,,,,,
244,,31950,4522,142,20210205,31800,31950,30950,,,,,,,
245,,31050,2397,75,20210204,31050,31550,31050,,,,,,,
246,,31050,6791,213,20210203,32450,32450,30950,,,,,,,
247,,31400,18522,600,20210202,31000,34050,30950,,,,,,,
248,,30600,3204,98,20210201,30000,31150,30000,,,,,,,
249,,30250,8982,280,20210129,33450,33450,30150,,,,,,,
250,,32150,5148,166,20210128,32000,33100,31850,,,,,,,
251,,33200,8742,292,20210127,33300,34950,32700,,,,,,,
252,,33250,17350,584,20210126,34850,35250,33000,,,,,,,
253,,34900,62120,2191,20210125,35100,37150,34200,,,,,,,
254,,34250,30794,1041,20210122,33400,34350,32800,,,,,,,
255,,32800,5502,179,20210121,32700,32900,32000,,,,,,,
256,,32150,5419,174,20210120,32800,32800,31600,,,,,,,
257,,31800,2155,68,20210119,32400,32400,31250,,,,,,,
258,,31250,2803,88,20210118,31000,32650,30850,,,,,,,
259,,31550,3556,113,20210115,31950,32000,31550,,,,,,,
260,,32000,3272,105,20210114,32750,32750,32000,,,,,,,
261,,32350,4558,147,20210113,32150,32950,32000,,,,,,,
262,,32300,6272,204,20210112,33600,33600,32050,,,,,,,
263,,32750,19147,636,20210111,33250,34500,32100,,,,,,,
264,,33000,15257,507,20210108,32700,34700,32200,,,,,,,
265,,32200,6623,214,20210107,33600,33600,32000,,,,,,,
266,,32500,7289,240,20210106,32300,33600,32300,,,,,,,
267,,33100,7646,246,20210105,31800,33100,31550,,,,,,,
268,,31800,8047,255,20210104,31900,31900,31550,,,,,,,
269,,31550,4606,144,20201230,31250,31550,31100,,,,,,,
270,,31250,8193,255,20201229,30800,31400,30800,4,0.00,,,,,
271,,30800,13854,432,20201228,32550,32550,30700,,,,,,,
272,,32000,27077,877,20201224,33400,33400,31500,,,,,,,
273,,34050,19768,666,20201223,33650,34050,32700,,,,,,,
274,,32850,21143,698,20201222,33800,33800,32700,,,,,,,
275,,34100,48240,1633,20201221,35200,35200,32550,,,,,,,
276,,35500,64845,2287,20201218,36150,36850,34500,,,,,,,
277,,34750,31091,1078,20201217,34650,35250,33900,,,,,,,
278,,34400,140184,4189,20201216,35550,35550,34250,,,,,,,
279,,35850,10963,399,20201215,37350,37500,35850,,,,,,,
280,,36150,26015,965,20201214,38700,39000,36100,,,,,,,
281,,38700,7725,300,20201211,38250,39400,38250,,,,,,,
282,,38250,25894,1006,20201210,39000,40800,37500,,,,,,,
283,,39400,23570,926,20201209,39950,40450,38600,,,,,,,
284,,39800,52766,2098,20201208,37900,42000,37050,,,,,,,
285,,37950,11980,456,20201207,38050,38500,37750,,,,,,,
286,,37750,16616,627,20201204,37700,38900,37100,,,,,,,
287,,37700,17999,668,20201203,36150,38100,36000,,,,,,,
288,,36650,13892,505,20201202,36000,36700,35600,,,,,,,
289,,35550,23893,866,20201201,37050,37100,35550,,,,,,,
290,,37250,51856,1925,20201130,38100,38800,35950,,,,,,,
291,,37500,416705,17376,20201127,45750,45750,37500,,,,,,,
292,,35200,50864,1796,20201126,33550,36650,33550,,,,,,,
293,,34000,24962,856,20201125,33650,35000,33550,,,,,,,
294,,33650,8475,285,20201124,33200,34300,33000,,,,,,,
295,,32850,6521,216,20201123,33400,33750,32850,,,,,,,
296,,33400,11981,401,20201120,34450,34450,33000,,,,,,,
297,,34000,7280,248,20201119,34050,34400,33700,,,,,,,
298,,34050,6904,237,20201118,34600,35050,33700,,,,,,,
299,,34600,9487,328,20201117,34350,34950,34100,,,,,,,
300,,34150,6421,219,20201116,33550,34550,33550,,,,,,,
301,,34000,3463,117,20201113,33050,34200,33050,,,,,,,
302,,33550,8018,270,20201112,33000,34350,32550,,,,,,,
303,,33000,5295,173,20201111,32650,33000,32500,,,,,,,
304,,32800,4210,138,20201110,32900,33150,32400,,,,,,,
305,,32900,5918,194,20201109,32400,33300,32400,,,,,,,
306,,32500,2548,83,20201106,32750,32950,32400,,,,,,,
307,,32750,3211,105,20201105,32000,33000,32000,,,,,,,
308,,32050,3168,102,20201104,33000,33000,31850,,,,,,,
309,,32050,3132,101,20201103,32250,33200,31950,,,,,,,
310,,32300,3186,102,20201102,33800,33800,31650,,,,,,,
311,,31700,5304,171,20201030,33300,33300,31650,,,,,,,
312,,31600,3570,112,20201029,31900,31900,31300,,,,,,,
313,,31900,2515,80,20201028,32100,32200,31500,,,,,,,
314,,31450,19439,631,20201027,31800,34650,30700,,,,,,,
315,,31300,9211,299,20201026,33500,33550,31300,,,,,,,
316,,33950,2222,76,20201023,34500,34500,33900,,,,,,,
317,,34300,2424,83,20201022,34200,34600,33800,,,,,,,
318,,34400,4378,150,20201021,34600,34800,33950,,,,,,,
319,,34100,5564,189,20201020,33900,34900,33750,,,,,,,
320,,34300,12807,444,20201019,35500,35600,34300,,,,,,,
321,,35750,126632,4815,20201016,35000,42000,34500,,,,,,,
322,,35000,9205,320,20201015,35000,35750,34000,,,,,,,
323,,35050,7116,251,20201014,36000,36050,35050,,,,,,,
324,,36000,30728,1123,20201013,35150,38300,35150,,,,,,,
325,,35350,3208,113,20201012,35300,35500,35100,,,,,,,
326,,35100,7144,253,20201008,35500,35900,35100,,,,,,,
327,,35900,4155,149,20201007,35050,36100,35050,,,,,,,
328,,35450,4874,172,20201006,35650,35700,35000,,,,,,,
329,,35300,5833,207,20201005,35050,35900,35050,,,,,,,
330,,35500,38869,1412,20200929,34800,38250,34800,,,,,,,
331,,34600,12427,434,20200928,34700,35500,34600,,,,,,,
332,,34700,14219,502,20200925,35300,36500,34700,,,,,,,
333,,35500,31447,1151,20200924,36950,37950,35500,,,,,,,
334,,38050,97338,3753,20200923,39000,40050,37100,,,,,,,
335,,42000,158341,6177,20200922,34500,42000,33600,,,,,,,
336,,35000,8705,308,20200921,35600,36250,34850,,,,,,,
337,,35600,8079,287,20200918,35200,36150,34850,,,,,,,
338,,35300,8752,312,20200917,36500,36700,35200,,,,,,,
339,,35950,19675,715,20200916,36750,37400,35900,,,,,,,
340,,36750,13413,492,20200915,37400,37800,36200,,,,,,,
341,,37450,85463,3229,20200914,36450,39700,35550,,,,,,,
342,,36050,25178,907,20200911,36150,37000,35000,,,,,,,
343,,37350,34417,1295,20200910,39050,39700,36250,,,,,,,
344,,38500,86946,3410,20200909,39400,41500,38200,,,,,,,
345,,41450,764763,34871,20200908,42600,52800,40700,,,,,,,
346,,44250,186747,8259,20200907,44250,44250,43150,,,,,,,
347,,34050,78300,2773,20200904,33500,38000,31000,,,,,,,
348,,33950,28596,963,20200903,32900,34950,32150,,,,,,,
349,,32700,4858,158,20200902,33250,33250,32050,,,,,,,
350,,32450,4598,148,20200901,32300,32750,32000,,,,,,,
351,,32300,5997,194,20200831,32100,33050,32100,,,,,,,
352,,32100,12480,402,20200828,32150,33350,31700,,,,,,,
353,,32100,10999,359,20200827,32150,33450,32100,,,,,,,
354,,32450,26187,838,20200826,33600,34300,30600,,,,,,,
355,,33500,5502,185,20200825,33200,34350,33200,,,,,,,
356,,33050,8302,274,20200824,33150,33700,32600,,,,,,,
